Date,Unemp,DInfl
11/1/2011,8.6,-0.1
12/1/2011,8.5,-0.4
1/1/2012,8.3,-0.1
2/1/2012,8.3,-0.1
3/1/2012,8.2,-0.3
4/1/2012,8.2,-0.3
5/1/2012,8.2,-0.5
6/1/2012,8.2,-0.1
7/1/2012,8.2,-0.2
8/1/2012,8.1,0.3
9/1/2012,7.8,0.3
10/1/2012,7.8,0.2
11/1/2012,7.7,-0.4
12/1/2012,7.9,0
1/1/2013,8,-0.1
2/1/2013,7.7,0.3
3/1/2013,7.5,-0.5
4/1/2013,7.6,-0.4
5/1/2013,7.5,0.3
6/1/2013,7.5,0.3
7/1/2013,7.3,0.2
8/1/2013,7.2,-0.3
9/1/2013,7.2,-0.4
10/1/2013,7.2,-0.2
11/1/2013,6.9,0.4
12/1/2013,6.7,0.3
1/1/2014,6.6,0
2/1/2014,6.7,-0.4
3/1/2014,6.7,0.5
4/1/2014,6.2,0.4
5/1/2014,6.3,0.2
6/1/2014,6.1,-0.1
7/1/2014,6.2,-0.1
8/1/2014,6.1,-0.3
9/1/2014,5.9,0
10/1/2014,5.7,-0.1
11/1/2014,5.8,-0.4
12/1/2014,5.6,-0.6
1/1/2015,5.7,-0.9
2/1/2015,5.5,0.1
3/1/2015,5.4,0.1
4/1/2015,5.4,-0.1
5/1/2015,5.6,0.1
6/1/2015,5.3,0.1
7/1/2015,5.2,0
8/1/2015,5.1,0
9/1/2015,5,-0.2
10/1/2015,5,0.1
11/1/2015,5.1,0.3
12/1/2015,5,0.2
1/1/2016,4.8,0.6
2/1/2016,4.9,-0.4
3/1/2016,5,0
4/1/2016,5.1,0.3
5/1/2016,4.8,-0.1
6/1/2016,4.9,0
7/1/2016,4.8,-0.2
8/1/2016,4.9,0.2
9/1/2016,5,0.5
10/1/2016,4.9,0.1
11/1/2016,4.7,0
12/1/2016,4.7,0.4
1/1/2017,4.7,0.5
2/1/2017,4.6,0.3
3/1/2017,4.4,-0.4
4/1/2017,4.4,-0.3
5/1/2017,4.4,-0.3
6/1/2017,4.3,-0.2
7/1/2017,4.3,0.1
8/1/2017,4.4,0.2
9/1/2017,4.3,0.3
10/1/2017,4.2,-0.2
11/1/2017,4.2,0.2
12/1/2017,4.1,0
1/1/2018,4,0
2/1/2018,4.1,0.1
3/1/2018,4,0.1
4/1/2018,4,0.1
5/1/2018,3.8,0.3
6/1/2018,4,0
7/1/2018,3.8,0
8/1/2018,3.8,-0.2
9/1/2018,3.7,-0.3
10/1/2018,3.8,0.2
11/1/2018,3.8,-0.3
12/1/2018,3.9,-0.1
1/1/2019,4,-0.5
2/1/2019,3.8,0
3/1/2019,3.8,0.3
4/1/2019,3.6,0.1
5/1/2019,3.7,-0.2
6/1/2019,3.6,-0.1
7/1/2019,3.7,0.1
8/1/2019,3.7,0
9/1/2019,3.5,0
10/1/2019,3.6,0.1
11/1/2019,3.6,0.3
12/1/2019,3.6,0.3
1/1/2020,3.5,0.2
2/1/2020,3.5,-0.2
3/1/2020,4.4,-0.8
4/1/2020,14.7,-1.2
5/1/2020,13.2,-0.1
6/1/2020,11,0.5
7/1/2020,10.2,0.3
8/1/2020,8.4,0.3
9/1/2020,7.9,0.1
10/1/2020,6.9,-0.2
11/1/2020,6.7,0
12/1/2020,6.7,0.2
1/1/2021,6.3,0.1
2/1/2021,6.2,0.3
3/1/2021,6.1,0.9
4/1/2021,6.1,1.5
5/1/2021,5.8,0.8
6/1/2021,5.9,0.4
7/1/2021,5.4,-0.1
8/1/2021,5.2,0
9/1/2021,4.8,0.2
10/1/2021,4.5,0.9
11/1/2021,4.2,0.6
12/1/2021,3.9,0.3
1/1/2022,4,0.4
2/1/2022,3.8,0.4
3/1/2022,3.6,0.6
4/1/2022,3.6,-0.3
5/1/2022,3.6,0.3
6/1/2022,3.6,0.4
7/1/2022,3.5,-0.5
8/1/2022,3.7,-0.2
9/1/2022,3.5,0
10/1/2022,3.7,-0.5
11/1/2022,3.6,-0.6
12/1/2022,3.5,-0.7
