Date,Unemp,DInfl
1/1/2000,4,0.1
2/1/2000,4.1,0.4
3/1/2000,4,0.5
4/1/2000,3.8,-0.7
5/1/2000,4,0.1
6/1/2000,4,0.6
7/1/2000,4,-0.1
8/1/2000,4.1,-0.2
9/1/2000,3.9,0.1
10/1/2000,3.9,0
11/1/2000,3.9,0
12/1/2000,3.9,0
1/1/2001,4.2,0.3
2/1/2001,4.2,-0.2
3/1/2001,4.3,-0.5
4/1/2001,4.4,0.2
5/1/2001,4.3,0.3
6/1/2001,4.5,-0.4
7/1/2001,4.6,-0.5
8/1/2001,4.9,0
9/1/2001,5,-0.1
10/1/2001,5.3,-0.5
11/1/2001,5.5,-0.2
12/1/2001,5.7,-0.3
1/1/2002,5.7,-0.4
2/1/2002,5.7,-0.1
3/1/2002,5.7,0.2
4/1/2002,5.9,0.3
5/1/2002,5.8,-0.4
6/1/2002,5.8,-0.2
7/1/2002,5.8,0.4
8/1/2002,5.7,0.3
9/1/2002,5.7,-0.2
10/1/2002,5.7,0.5
11/1/2002,5.9,0.2
12/1/2002,6,0.2
1/1/2003,5.8,0.3
2/1/2003,5.9,0.4
3/1/2003,5.9,-0.1
4/1/2003,6,-0.9
5/1/2003,6.1,-0.3
6/1/2003,6.3,0.1
7/1/2003,6.2,0.1
8/1/2003,6.1,0.2
9/1/2003,6.1,0.2
10/1/2003,6,-0.3
11/1/2003,5.8,-0.1
12/1/2003,5.7,0.1
1/1/2004,5.7,0
2/1/2004,5.6,-0.3
3/1/2004,5.8,0.1
4/1/2004,5.6,0.6
5/1/2004,5.6,0.6
6/1/2004,5.6,0.3
7/1/2004,5.5,-0.2
8/1/2004,5.4,-0.4
9/1/2004,5.4,0
10/1/2004,5.5,0.7
11/1/2004,5.4,0.4
12/1/2004,5.4,-0.3
1/1/2005,5.3,-0.5
2/1/2005,5.4,0.2
3/1/2005,5.2,0.2
4/1/2005,5.2,0.2
5/1/2005,5.1,-0.5
6/1/2005,5,-0.3
7/1/2005,5,0.5
8/1/2005,4.9,0.6
9/1/2005,5,1.1
10/1/2005,5,-0.4
11/1/2005,5,-1
12/1/2005,4.9,0
1/1/2006,4.7,0.7
2/1/2006,4.8,-0.4
3/1/2006,4.7,-0.2
4/1/2006,4.7,0.2
5/1/2006,4.6,0.4
6/1/2006,4.6,0.2
7/1/2006,4.7,-0.1
8/1/2006,4.7,-0.2
9/1/2006,4.5,-1.9
10/1/2006,4.4,-0.6
11/1/2006,4.5,0.6
12/1/2006,4.4,0.6
1/1/2007,4.6,-0.4
2/1/2007,4.5,0.3
3/1/2007,4.4,0.4
4/1/2007,4.5,-0.2
5/1/2007,4.4,0.1
6/1/2007,4.6,0
7/1/2007,4.7,-0.4
8/1/2007,4.6,-0.4
9/1/2007,4.7,0.9
10/1/2007,4.7,0.8
11/1/2007,4.7,0.8
12/1/2007,5,-0.3
1/1/2008,5,0.2
2/1/2008,4.9,-0.2
3/1/2008,5.1,-0.2
4/1/2008,5,-0.1
5/1/2008,5.4,0.2
6/1/2008,5.6,0.8
7/1/2008,5.8,0.6
8/1/2008,6.1,-0.2
9/1/2008,6.1,-0.4
10/1/2008,6.5,-1.2
11/1/2008,6.8,-2.6
12/1/2008,7.3,-1.1
1/1/2009,7.8,-0.1
2/1/2009,8.3,0.1
3/1/2009,8.7,-0.5
4/1/2009,9,-0.1
5/1/2009,9.4,-0.4
6/1/2009,9.5,-0.2
7/1/2009,9.5,-0.7
8/1/2009,9.6,0.5
9/1/2009,9.8,0.1
10/1/2009,10,1.2
11/1/2009,9.9,2.1
12/1/2009,9.9,0.9
1/1/2010,9.8,-0.2
2/1/2010,9.8,-0.5
3/1/2010,9.9,0.1
4/1/2010,9.9,-0.1
5/1/2010,9.6,-0.2
6/1/2010,9.4,-0.9
7/1/2010,9.4,0.2
8/1/2010,9.5,-0.2
9/1/2010,9.5,0
10/1/2010,9.4,0
11/1/2010,9.8,-0.1
12/1/2010,9.3,0.4
1/1/2011,9.1,0.3
2/1/2011,9,0.4
3/1/2011,9,0.5
4/1/2011,9.1,0.5
5/1/2011,9,0.4
6/1/2011,9.1,0
7/1/2011,9,0.1
8/1/2011,9,0.2
9/1/2011,9,0.1
10/1/2011,8.8,-0.3
